Days,1,2,3,4,5,6,7
Monday,PHY,CHE,MAT,ENG,MAT,P/C LAB,P/C LAB
Tuesday,PY,LIB,CHE,PHY,ENG,MAT
Wednesday,PY LAB,PY LAB,PY LAB,PY LAB,MAT,ENG,MENTOR
Thursday,CHE,PY,PHY,PY,P/C LAB,P/C LAB,MAT
Friday,MAT,PY,PY,CHE,COMM LAB ,COMM LAB ,COMM LAB
Saturday,PY,ENG,MENTOR,PHY,CHE,TAMIL,PHY
