,1,2,3,4,5,6,7,8
Monday,DDM/AB,AI/PS LH9,DEV/REP,DEV/REP,DDM/AB,DPCO/SE,DPCO/SE,DM/VTR
Tuesday,DM/VTR,DDA/AP,DAA/AP,DDM/AB,DEV/REP,LIB,AI/PS,DEV/REP
Wednesday,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan,Naan Muthalvan
Thursday,DAA/AP,Test/AB,AI LAB/PS ,AI LAB/PS,AI lAB/PS,Plaement/KSA,DM/VTR,DDM/AB
Friday,DEV/REP,DM/VTR,DPCO/SE,DPCO/SE,DAA/AP,DDM LAB/AB,DDM LAB / AB,DDM LAB / AB
Saturday,AI,DDM/AB,DPCO/SE,DM/VTR,Plaement/KSA,DAA/AP,Association / Tech - club,Association / Tech - club
